After you've gone,1
Ain't misbehavin',2
Alemberts,3
Alors?...voila!,4
Anniversary song,5
Anouman,6
Appel indirect,7
Are you in the mood,8
Artillerie lourde,9
Avalon,10
Babik,11
Bei dir war immer so schön,12
Bei mir bist du schön,13
Belleville,14
Belleville rendez-vous,15
Black and white,16
Blue drag,17
Blues en mineur,18
Blues for Ike,19
Blue skies,20
Body and soul,21
Bossa Dorado,22
Boum!,23
Brazil,24
Brise Napolitaine,25
Cantina band,27
Caravan,28
Cavalerie,29
C'est si bon,30
Charleston,31
Chez Jacquet,32
Chicago,34
China boy,35
"Chinatown, my Chinatown",36
Clair de lune,37
Confessin',38
Continental,39
Coquette,40
Crazy rhythm,41
Crépuscule,42
Danse Norvégienne,43
Danse nuptiale,44
Daphné,45
Dark eyes,46
Destinée,47
Desvairada,48
Dicty glide,50
Diminishing,52
Dinah,53
Dinette,54
Ding-dong! the witch is dead,55
Djangology,56
Django's tiger,57
Douce ambiance,58
Eel's nephew,59
Embraceable you,60
Exactly like you,61
Festival 48,62
Fleur d'Ennui,63
For Sephora,64
Frolic,65
Good old days,66
Gypsy dreams,67
Gypsy fire,68
H.C.Q. strut,69
Honeysuckle rose,70
Hungaria,72
I can't believe that you're in love with me,73
I can't give you anything but love,74
If I had you,75
If I only had a brain,76
I'll never be the same,77
I'll see you in my dreams,78
I'm forever blowing bubbles,83
Indifférence,84
Insensiblement,86
I saw stars,87
"I surrender, dear",88
It don't mean a thing if it ain't got swing,89
It had to be you,90
It's only a paper moon,91
I've found a new baby,92
I've got my love to keep me warm,93
I wanna be loved by you,94
I wonder where my baby is tonight,96
I won't dance,98
Japanese sandman,100
J'attendrai,101
Jeepers creepers,102
Jitterbug waltz,103
"Joseph, Joseph",104
Just one for Babik,105
Just one of those things,106
Keepin' out of mischief now,108
La camarde,109
"Lady, be good",111
La folle,112
La foule,114
La javanaise,116
La mer,117
La vie en rose,118
Les feuilles mortes,119
Limehouse blues,121
Little white lies,122
Love me tender,123
Lover man,124
Lulu swing,125
Manah manah,126
Man I love,127
Manoir de mes raves,128
Ma premiere guitare,129
Marie,130
Mélodie au Crépuscule,131
Ménilmontant,132
Micro,133
Midnight in Moscow,134
Milko,135
Mimosa,136
Minor Swing,137
Mister Sandman,138
Mon Dieu,139
Montagne Ste-Genevieve,140
Muppet Show theme,142
My blue heaven,144
My melancholy baby,145
Mystérieuse,146
Ne me quitte pas,148
Night and day,149
Noto swing,151
Nuages,152
Nuits de Ste-Germain des Prés,153
Oriental shuffle,154
"Oü es-tu, mon amour?",155
Out of nowhere,156
Padam...padam,157
Panique,159
Passion,161
Péche a la mouche,163
Penguin,164
Pennies from heaven,166
Petite fleur,167
Place de Brouckére,169
Powerhouse,170
Quand refleuriront les lilas blancs?,172
Que reste-t-il de nos amours?,173
Rose room,175
Rosetta,176
Russian lullaby,177
R vingt-six,178
September song,179
Seul ce soir,180
Sheik of Araby,181
Shine,182
"Sing, sing, sing",183
Si tu savais,185
Smile,186
Somebody loves me,187
Someone's rocking my dreamboat,188
Somewhere over the rainbow,189
Songe d'Automne,190
Sous le ciel de Paris,191
Spivy,193
Stompin' at Decca,195
Stranger in paradise,196
Stumbling,197
Svetlana,198
Sweet Georgia Brown,199
Sweet Sue,200
Swing 39,201
Swing 42,203
Swing 48,204
Swing de Paris,205
Swing Gitan,206
Swing guitars,207
Swing rhumba,208
Swingtime in springtime,210
Swing valse,211
Syracuse,213
Tchavolo swing,214
Tea for two,216
Tears,217
Them there eyes QHCF Version,218
Them there eyes,219
Third Man theme,220
Three little words,221
Tico tico,222
Topsy,224
Troublant boléro,226
Twilight in Turkey,227
Two cigarettes in the dark,228
Two guitars,229
Ultrafox,230
Undecided,231
Une historie simple,232
Un homme et une femme,233
Vendredi 13,234
Viper's dream,235
Vous et moi,236
Vous qui passez sans me voir,237
When day is done,238
Whispering,239
