African Flower (Petite Fleur Africaine),10,10
Afro Blue,11,11
Afternoon In Paris,12,12
Airegin,13,13
Água De Beber (Water To Drink),14,15
Alfie,16,16
Alice In Wonderland,17,17
All Blues,18,18
All By Myself,19,19
All Of Me,20,20
All Of You,21,21
All The Things You Are,22,22
Always,23,23
"Alright, Okay, You Win",24,25
Ana Maria,26,27
Angel Eyes,28,28
Anthropology,29,29
Apple Honey,30,31
April In Paris,32,32
April Joy,33,33
"Arise, Her Eyes",34,35
Armageddon,36,36
Au Privave,37,37
Autumn In New York,38,38
Autumn Leaves,39,39
Beautiful Love,40,40
Beauty And The Beast,41,41
Bessie's Blues,42,42
Bewitched,43,43
Big Nick,44,44
Black Coffee,45,45
Black Diamond,46,46
Black Narcissus,47,47
Black Nile,48,48
Black Orpheus,49,49
Blue Bossa,50,50
Blue In Green,51,51
Blue Monk,52,52
The Blue Room,53,53
Blue Train (Blue Trane),54,54
Blues For Alice,55,55
Bluesette,56,56
Body And Soul,57,57
Boplicity (Be Bop Lives),58,58
Bright Size Life,59,59
Broad Way Blues,60,60
Broadway,61,61
But Beautiful,62,62
Butterfly,63,63
Byrd Like,64,64
C'est Si Bon,65,65
Call Me,66,66
Call Me Irresponsible,67,67
Can't Help Lovin' Dat Man,68,68
Central Park West,69,69
Captain Marvel,70,71
Ceora,72,72
Chelsea Bells,73,73
Chega De Saudade (No More Blues),74,75
Chelsea Bridge,76,76
Cherokee (Indian Love Song),77,77
Cherry Pink And Apple Blossom White,78,78
A Child Is Born,79,79
Chippie,80,80
Chitlins Con Carne,81,81
Come Sunday,82,82
Como En Vietnam,83,83
Con Alma,84,85
Conception,86,86
Confirmation,87,87
Contemplation,88,88
Coral,89,89
Cotton Tail,90,90
Could It Be You,91,91
Countdown,92,92
Crescent,93,93
Crystal Silence,94,94
D Natural Blues,95,95
Daahoud,96,97
Dancing On The Ceiling,98,98
Darn That Dream,99,99
Day Waves,100,100
Days And Nights Waiting,101,101
Dear Old Stockholm,102,102
Dearly Beloved,103,103
Dedicated To You,104,104
Detour Ahead,105,105
Deluge,106,107
Desafinado,108,109
Desert Air,110,111
Dexterity,112,112
Dizzy Atmosphere,113,113
Django,114,115
Doin' The Pig,116,117
Dolores,118,118
Dolphin Dance,119,119
Domino Biscuit,120,120
Don't Blame Me,121,121
Don't Get Around Much Anymore,122,122
Donna Lee,123,123
Dream A Little Dream Of Me,124,124
Dreamsville,125,125
Easter Parade,126,126
Easy Living,127,127
Easy To Love (You'd Be So Easy To Love),128,128
Ecclusiastics,129,129
Eighty One,130,130
El Gaucho,131,131
Epistrophy,132,132
Equinox,133,133
Equipoise,134,134
E.S.P.,135,135
Fall,136,136
Falling Grace,137,137
Falling In Love With Love,138,138
Fee-Fi-Fo-Fum,139,139
A Fine Romance,140,140
500 Miles High,141,141
502 Blues,142,142
Follow Your Heart,143,143
Footprints,144,144
For All We Know,145,145
For Heaven's Sake,146,146
(I Love You) For Sentimental Reasons,147,147
Forest Flower,148,148
Four,149,149
Four On Six,150,150
Freddie Freeloader,151,151
Freedom Jazz Dance,152,152
"Gee Baby, Ain't I Good To You",153,153
Full House,154,155
Gemini,156,156
Giant Steps,157,156
Gloria's Step,157,157
The Girl From Ipanema (Garota De Ipanema),158,159
God Bless' The Child,160,160
Golden Lady,161,161
Good Evening Mr. And Mrs. America,162,163
Grand Central,164,164
The Green Mountains,165,165
Groovin' High,166,166
Grow Your Own,167,167
Guilty,168,168
Gypsy In My Soul,169,169
Half Nelson,170,171
Have You Met Miss Jones?,172,172
Heaven,173,173
Heebie Jeebies,174,174
Here's That Rainy Day,175,175
"Hello, Young Lovers",176,177
Hot Toddy,178,178
House Of Jade,179,179
How High The Moon,180,180
How Insensitive (Insensatez),181,181
How My Heart Sings,182,182
Hullo Bolinas,183,183
I Can't Get Started With You,184,184
I Can't Give You Anything But Love,185,185
I Could Write A Book,186,186
I Got It Bad And That Ain't Good,187,187
I Let A Song Go Out Of My Heart,188,188
I Love Paris,189,189
I Love You,190,190
I Mean You,191,191
I Remember Clifford,192,193
I Should Care,194,194
I Wish I Knew How It Would Feel To Be Free,195,195
I'll Never Smile Again,196,196
I'll Remember April,197,197
I'm All Smiles,198,199
I'm Beginning To See The Light,200,200
I'm Your Pal,201,201
Icarus,202,203
If You Never Come To Me (Inutil Paisagem),204,204
Impressions,205,205
In A Mellow Tone,206,206
In A Sentimental Mood,207,207
In The Mood,208,209
In The Wee Small Hours Of The Morning,210,210
In Your Quiet Place,211,211
The Inch Worm,212,212
Indian Lady,213,213
Inner Urge,214,214
Interplay,215,215
The Intrepid Fox,216,216
Invitation,217,217
Iris,218,218
Isn't It Romantic?,219,219
"Is You Is, Or Is You Ain't (Ma' Baby)",220,221
Isotope,222,222
Israel,223,223
It Don't Mean A Thing (If It Ain't Got That Swing),224,224
It's Easy To Remember,225,225
Jelly Roll,226,226
Jordu,227,227
Journey To Recife,228,228
Joy Spring,229,229
Juju,230,230
June In January,231,231
Jump Monk,232,233
Just One More Chance,234,234
Lady Bird,235,235
Kelo,236,237
Lady Sings The Blues,238,238
Lament,239,239
Las Vegas Tango,240,240
Lazy Bird,241,241
Lazy River,242,242
Like Someone In Love,243,243
Limehouse Blues,244,244
Little Boat (O Barquinho),245,245
Lines And Spaces,246,247
Litha,248,249
Little Waltz,250,250
Long Ago (And Far Away),251,251
Lonnie's Lament,252,252
Look To The Sky,253,253
Love Is The Sweetest Thing,254,254
Lucky Southern,255,255
Lullaby Of Birdland,256,256
The Magician In You,257,257
Lush Life,258,259
Mahjong,260,260
Maiden Voyage,261,261
A Man And A Woman (Un Homme Et Une Femme),262,263
Man In The Green Shirt,264,265
Meditation (Meditacao),266,266
Memories Of Tomorrow,267,267
Michelle,268,268
Midnight Mood,269,269
Midwestern Nights Dream,270,271
Milano,272,272
Minority,273,273
Miss Ann,274,275
Missouri Uncompromised,276,275
Mr. P.C.,276,276
Misty,277,277
Miyako,278,278
Mood Indigo,279,279
Moment's Notice,280,281
Moonchild,282,282
The Most Beautiful Girl In The World,283,283
My Buddy,284,284
My Favorite Things,285,285
My Foolish Heart,286,286
My Funny Valentine,287,287
My One And Only Love,288,288
My Romance,289,289
My Shining Hour,290,290
My Ship,291,291
My Way,292,292
Naima (Niema),293,293
Mysterious Traveller,294,295
Nardis,296,296
Nefertiti,297,297
Never Will I Marry,298,298
Nica's Dream,299,299
Night Dreamer,300,300
The Night Has A Thousand Eyes,301,301
A Night In Tunisia,302,302
Nobody Knows You When You're Down And Out,303,303
Night Train,304,305
Nostalgia In Times Square,306,306
Nuages,307,307
(The Old Man From) The Old Country,308,308
Oleo,309,309
Oliloqui Valley,310,310
Once I Loved (Amor Em Paz) (Love In Peace),311,311
Once In Love With Amy,312,312
One Finger Snap,313,313
One Note Samba (Samba De Uma Nota So),314,314
Only Trust Your Heart,315,315
Orbits,316,316
Ornithology,317,317
Out Of Nowhere,318,318
Paper Doll,319,319
Passion Dance,320,320
Passion Flower,321,321
Peace,322,322
Peggy's Blue Skylight,323,323
Pent Up House,324,324
Penthouse Serenade,325,325
Peri's Scope,326,326
Pfrancing,327,327
Pinocchio,328,328
Pithecanthropus Erectus,329,329
Portsmouth Figurations,330,330
Prelude To A Kiss,331,331
Prince Of Darkness,332,332
P.S. I Love You,333,333
Pussy Cat Dues,334,334
Quiet Nights Of Quiet Stars (Corcovado),335,335
Quiet Now,336,336
Recorda Me,337,337
Red Clay,338,339
Reflections,340,340
Ring Dem Bells,341,341
Reincarnation Of A Lovebird,342,343
Road Song,344,344
Round Midnight,345,345
"Ruby, My Dear",346,347
Poem For #15 (The Saga Of Harrison Crabfeathers),348,348
Satin Doll,349,349
Scotch And Soda,350,350
Scrapple From The Apple,351,351
Sea Journey,352,353
Seven Come Eleven,354,354
Sidewinder,355,355
Seven Steps To Heaven,356,357
Silver Hollow,358,358
Sirabhorn,359,359
Skating In Central Park,360,361
So Nice (Summer Samba),362,362
Solar,363,363
So What,364,365
Solitude,366,366
Some Day My Prince Will Come,367,367
Some Other Spring,368,368
Somebody Loves Me,369,369
Some Skunk Funk,370,371
Sometime Ago,372,372
Song For My Father,373,373
The Song Is You,374,375
Sophisticated Lady,376,376
The Sorcerer,377,377
Speak No Evil,378,378
The Sphinx,379,379
Standing On The Corner,380,380
The Star-Crossed Lovers,381,381
Stella By Starlight,382,382
Steps,383,383
Stolen Moments,384,384
Stompin' At The Savoy,385,385
Straight No Chaser,386,386
Sugar,387,387
A String Of Pearls,388,389
Stuff,390,391
A Sunday Kind Of Love,392,392
The Surrey With The Fringe On Top,393,393
Swedish Pastry,394,394
Sweet Georgia Bright,395,395
Sweet Henry,396,396
Take Five,397,397
Take The “A” Train,398,398
Thanks For The Memory,399,399
Tame Thy Pen,400,401
Tell Me A Bedtime Story,402,403
That's Amore (That's Love),404,405
(There Is) No Greater Love,406,406
There Will Never Be Another You,407,407
There'll Be Some Changes Made,408,408
They Didn't Believe Me,409,409
Think On Me,410,410
Thou Swell,411,411
Three Flowers,412,412
Time Remembered,413,413
Tones For Joan's Bones,414,414
Topsy,415,415
Tour De Force,416,416
Triste,417,417
Tune Up,418,418
Turn Out The Stars,419,419
Twisted Blues,420,420
Unity Village,421,421
Unchain My Heart,422,423
Unquity Road,424,424
Up Jumped Spring,425,425
Upper Manhattan Medical Group (UMMG),426,426
Valse Hot,427,427
Very Early,428,428
Virgo,429,429
Wait Till You See Her,430,430
Wave,431,431
Waltz For Debby,432,433
We'll Be Together Again,434,434
Well You Needn't (It's Over Now),435,435
West Coast Blues,436,436
What Am I Here For?,437,437
What Was,438,438
When I Fall In Love,439,439
When Sunny Gets Blue,440,440
When You Wish Upon A Star,441,441
Whispering,442,442
Windows,443,443
Wild Flower,444,445
Witch Hunt,446,446
Woodchopper's Ball,447,447
"Wives And Lovers (Hey, Little Girl)",448,449
Woodyn' You,450,450
The World Is Waiting For The Sunrise,451,451
Yes And No,452,452
Yesterday,453,453
Yesterdays,454,454
You Are Too Beautiful,455,455
You Are The Sunshine Of My Life,456,457
You Brought A New Kind Of Love To Me,458,458
You Don't Know What Love Is,459,459
You Took Advantage Of Me,460,460
Young At Heart,461,461
You're Nobody 'til Somebody Loves You,462,462
